vessel_id,registry_count,reg_mmsi,reg_flag,reg_name,reg_imo,reg_geartype,reg_owner,ais_mmsi,ais_flag,ais_name,ais_match_fields,ais_msg_count,no_registry,flag_mismatch,name_mismatch,no_match,no_shipname,mmsi_history_count,mmsi_history,parse_error
b9d23e59d-d309-b9ce-2b03-8b92700e44c8,0.0,,,,,[],,219950015,DNK,ZHELINYU21995-15-99%,NO_MATCH,7930.0,True,False,False,True,False,1.0,['219950015'],
e07fc73b7-7cb1-0329-82f4-62c60ea5ea8b,0.0,,,,,[],,618680011,ATF,61868--11-99%,NO_MATCH,6382.0,True,False,False,True,False,1.0,['618680011'],
cc42297cf-ff8b-62cb-8d74-ac3251a82dc9,0.0,,,,,[],,123043777,,TIELONGXINFANG31-71%,NO_MATCH,1752.0,True,False,False,True,False,1.0,['123043777'],
f05c6a772-24c9-2e6e-ddc8-3c55b8c134f2,0.0,,,,,[],,636019894,LBR,YM CREDENTIAL,NO_MATCH,3996344.0,True,False,False,True,False,1.0,['636019894'],
c7eb33bfb-bed4-a871-f282-3af2af9371e0,0.0,,,,,[],,352004796,PAN,HE TAI TONG 6,NO_MATCH,722027.0,True,False,False,True,False,1.0,['352004796'],
47e6cd407-7b47-ffd2-957d-46a5b9436318,3.0,636021139,DEU,TANTONUSANTARA,9259381,['CARGO'],TANTO INTIM LINE,636021139,LBR,MSC TARA III,SEVERAL_FIELDS,7515608.0,False,True,True,False,False,3.0,"['304513000', '525113010', '636021139']",
fea3da9ed-d52e-8262-d76a-a826e1bd0a78,0.0,,,,,[],,563240100,SGP,EVER MERCY,NO_MATCH,3292680.0,True,False,False,True,False,1.0,['563240100'],
10fd94e9a-a67c-21ea-5e45-3700396c0cf6,0.0,,,,,[],,563168500,SGP,ATLANTIC TSUBAKI,NO_MATCH,2537794.0,True,False,False,True,False,1.0,['563168500'],
abb5c93ab-bc35-f298-4fed-87dd98062775,0.0,,,,,[],,160251815,,BIAO 02518-15-   94%,NO_MATCH,1076.0,True,False,False,True,False,1.0,['160251815'],
8a4b15f6d-de91-f54d-d0b8-051bc4cee3be,0.0,,,,,[],,340123018,,MINLIANYU60199-18,NO_MATCH,6666.0,True,False,False,True,False,1.0,['340123018'],
6e7d51b6f-fc8b-0c8c-a79f-c17b3b91679d,0.0,,,,,[],,10439239,,04392-39-81%,NO_MATCH,405.0,True,False,False,True,False,1.0,['10439239'],
365f74da3-32cb-65dc-4ad8-6dd7c14421cf,0.0,,,,,[],,231161002,FRO,23116---2-50%,NO_MATCH,210.0,True,False,False,True,False,1.0,['231161002'],
12141d8bc-cdd0-0e15-cc9d-d30296abc712,0.0,,,,,[],,63067741,GNB,3067741-99%,NO_MATCH,109795.0,True,False,False,True,False,1.0,['63067741'],
